!	0	6
#	6	88
$	94	9
%	103	58
&	161	93
'	254	4
''	258	18
's	276	12
(	288	214
)	502	213
*	715	5
+297	720	1
+5999	721	1
,	722	987
-	1709	37
-109.217	1746	3
-4	1749	2
-64.783	1751	1
-68.933	1752	1
-70.017	1753	1
-hawley	1754	1
.	1755	796
..	2551	1
...	2552	5
.ai	2557	1
.an	2558	1
.aw	2559	1
.bm	2560	1
.si	2561	1
/	2562	17
/-a	2579	1
/-la	2580	1
//es.wikipedia.org/w/index.php	2581	5
//www.rnw.nl/caribiana/article/akkoord-over-bestuurscollege-curaca	2586	1
//www.rnw.nl/caribiana/article/eerste-kabinet-curacao-de-steigers	2587	1
//www.rnw.nl/caribiana/bulletin/eilandsraad-curacao-stemt-voor-staatsregeling	2588	1
0	2589	5
0,2	2594	1
0,4	2595	1
0,64	2596	1
0,77	2597	1
0,8	2598	1
0,802	2599	1
0,98	2600	1
0-14	2601	1
0.1	2602	1
0.2	2603	1
0.3	2604	3
0.4	2607	1
0.5	2608	1
0.7	2609	3
0.890	2612	1
0.895	2613	1
000	2614	2
03	2616	1
060	2617	1
1	2618	29
1,02	2647	1
1,2	2648	1
1,34	2649	1
1,89	2650	1
1.1	2651	1
1.100	2652	1
1.2	2653	1
1.3	2654	1
1.4	2655	1
1.5	2656	1
1.6	2657	1
1.664,8176	2658	1
1.79:1	2659	1
1.813	2660	1
10	2661	20
10,000	2681	1
10.056	2682	1
10.1	2683	1
10.118	2684	1
10.2	2685	1
10.3	2686	3
10.433	2689	1
10.7	2690	1
100	2691	3
100.3	2694	1
101.484	2695	1
102	2696	1
104	2697	1
106	2698	1
109°13′o	2699	3
10°18′n	2702	3
11	2705	13
11,66	2718	1
11,9	2719	1
11.266	2720	1
11.5	2721	1
11.518	2722	1
110.000	2723	1
113	2724	1
115	2725	1
12	2726	8
12,88	2734	1
12.024	2735	1
12.117	2736	1
12.131	2737	1
12.317	2738	1
12.326	2739	1
12.6	2740	1
12.870	2741	1
1241	2742	1
1264	2743	1
12:30	2744	1
12°19′n	2745	1
12°33′	2746	1
12°7′n	2747	1
13	2748	4
13,477	2752	1
13.976	2753	1
132.847	2754	2
136.100	2756	1
138.894	2757	1
14	2758	6
14.2	2764	1
14.224	2765	1
14.318	2766	1
140.794	2767	3
141.765	2770	1
142.180	2771	1
1441	2772	1
1493	2773	1
1499	2774	3
15	2777	21
15-64	2798	2
150	2800	2
1505	2802	1
1511	2803	1
1525	2804	1
1588	2805	1
1595	2806	2
16	2808	5
16-17	2813	1
16.944	2814	1
160	2815	89
1609	2904	3
1610	2907	1
1612	2908	2
1615	2910	1
1616	2911	1
1620	2912	2
1620-1815	2914	1
1621	2915	1
163	2916	1
1634	2917	1
1636	2918	1
1642	2919	1
1649	2920	1
165	2921	1
1650	2922	2
1651	2924	1
1678	2925	1
1684	2926	1
1685	2927	1
17	2928	6
1705	2934	1
1711	2935	1
1711-1821	2936	2
1725	2938	1
178,91	2939	1
18	2940	6
18,9	2946	1
1800	2947	1
1803	2948	1
1805	2949	1
1806	2950	1
1807	2951	1
1812	2952	1
1816	2953	3
1821	2956	1
1821-1858	2957	2
1824	2959	1
1825	2960	1
